Frame, Timestamp, Render Stars, Tonemapping, User Interface
449, 1781787697137079118, 5002, 287, 342
450, 1781787697144023524, 6208, 288, 340
451, 1781787697149642580, 5166, 289, 16
452, 1781787697155979810, 5163, 469, 720
453, 1781787697162485871, 5675, 290, 338
454, 1781787697168058017, 5163, 290, 87
455, 1781787697174881690, 5491, 688, 493
456, 1781787697180616084, 5163, 287, 278
457, 1781787697186266679, 5169, 288, 78
458, 1781787697193528658, 6120, 406, 352
459, 1781787697199536791, 5166, 288, 290
460, 1781787697205730562, 5169, 474, 513
461, 1781787697212251908, 5823, 288, 351
462, 1781787697217905103, 5167, 288, 88
463, 1781787697224755234, 5504, 684, 421
464, 1781787697230674771, 5013, 289, 289
465, 1781787697236533474, 5015, 290, 355
466, 1781787697243374242, 6168, 289, 338
467, 1781787697249043765, 5169, 290, 16
468, 1781787697255121892, 5175, 289, 436
469, 1781787697262054323, 6128, 287, 351
470, 1781787697267671559, 5170, 287, 89
471, 1781787697274450959, 5392, 653, 603
472, 1781787697280177719, 5167, 291, 280
473, 1781787697285813028, 5168, 287, 78
474, 1781787697292982722, 6090, 412, 340
475, 1781787697299022353, 5171, 287, 278
476, 1781787697304942655, 5012, 287, 490
477, 1781787697311953040, 6071, 286, 350
478, 1781787697317577637, 5164, 288, 90
479, 1781787697324268911, 5385, 647, 536
480, 1781787697330079926, 5168, 287, 290
481, 1781787697335710513, 5166, 291, 88
482, 1781787697342940619, 6070, 411, 340
483, 1781787697348921562, 5012, 288, 278
484, 1781787697354800666, 5010, 285, 359
485, 1781787697361451558, 5881, 289, 347
486, 1781787697367103454, 5163, 290, 80
487, 1781787697373796574, 5396, 650, 526
488, 1781787697379816748, 5170, 288, 278
489, 1781787697385736980, 5011, 285, 353
490, 1781787697392639736, 6105, 413, 351
491, 1781787697398312970, 5164, 290, 16
492, 1781787697404410891, 5171, 290, 360
493, 1781787697411311514, 6033, 287, 351
494, 1781787697416965887, 5169, 291, 87
495, 1781787697423772256, 5399, 650, 538
496, 1781787697429498392, 5172, 287, 282
497, 1781787697435155566, 5176, 288, 79
498, 1781787697442301796, 5791, 683, 421
499, 1781787697448305170, 5172, 287, 279
500, 1781787697454184183, 5011, 289, 352
501, 1781787697461003759, 6076, 292, 337
502, 1781787697466613438, 5171, 289, 88
503, 1781787697472939817, 5172, 471, 644
504, 1781787697479267918, 5682, 291, 280
505, 1781787697484913418, 5170, 285, 89
506, 1781787697492140547, 5772, 674, 423
507, 1781787697498140073, 5167, 291, 289
508, 1781787697504020372, 5007, 287, 339
509, 1781787697510893095, 6069, 290, 352
510, 1781787697516485601, 5170, 289, 88
511, 1781787697522900617, 5165, 473, 768
512, 1781787697529066297, 5501, 289, 281
513, 1781787697534684161, 5167, 292, 88
514, 1781787697541915921, 5774, 618, 418
515, 1781787697547936278, 5169, 289, 279
516, 1781787697553921948, 5201, 289, 363
517, 1781787697560812317, 6194, 290, 337
518, 1781787697566440153, 5163, 290, 16
519, 1781787697572866141, 5166, 473, 745
520, 1781787697579239157, 5576, 288, 352
521, 1781787697584822173, 5169, 289, 78
522, 1781787697591970514, 5785, 616, 425
523, 1781787697597957538, 5167, 290, 280
524, 1781787697603834032, 5010, 288, 353
525, 1781787697610746399, 6208, 289, 351
526, 1781787697616380208, 5169, 293, 15
527, 1781787697622743851, 5161, 470, 657
528, 1781787697629113367, 5662, 289, 339
529, 1781787697634709458, 5165, 288, 86
530, 1781787697641906951, 5783, 616, 415
531, 1781787697647878397, 5166, 288, 289
532, 1781787697653847262, 5167, 289, 360
533, 1781787697660777394, 6202, 287, 349
534, 1781787697666398939, 5163, 290, 16
535, 1781787697672770688, 5164, 471, 755
536, 1781787697679010458, 5496, 290, 338
537, 1781787697684632713, 5171, 290, 90
538, 1781787697691519816, 5497, 687, 496
539, 1781787697697243987, 5156, 286, 279
540, 1781787697702872993, 5170, 288, 88
541, 1781787697710247490, 6171, 413, 360
542, 1781787697716135296, 5012, 289, 278
543, 1781787697722385841, 5013, 473, 620
544, 1781787697728763085, 5616, 290, 349
545, 1781787697734372133, 5166, 289, 78
546, 1781787697741117520, 5397, 649, 596
547, 1781787697747151178, 5170, 293, 279
548, 1781787697753054788, 5170, 288, 368
549, 1781787697759925105, 6167, 291, 340
550, 1781787697765558796, 5174, 287, 16
551, 1781787697771681438, 5171, 289, 618
552, 1781787697778222656, 5818, 287, 337
553, 1781787697783840751, 5164, 287, 78
554, 1781787697790569677, 5404, 638, 530
555, 1781787697796579284, 5166, 290, 288
556, 1781787697802405292, 5001, 288, 354
557, 1781787697809306071, 6095, 411, 337
558, 1781787697814967205, 5170, 290, 16
559, 1781787697821035078, 5174, 288, 361
560, 1781787697827851067, 5993, 289, 336
561, 1781787697833482461, 5169, 292, 85
562, 1781787697839846246, 5179, 583, 540
563, 1781787697845926730, 5420, 290, 289
564, 1781787697851540049, 5162, 289, 89
565, 1781787697858668285, 5774, 618, 416
566, 1781787697864668920, 5165, 288, 277
567, 1781787697870539314, 5008, 288, 361
568, 1781787697877442167, 6212, 290, 348
569, 1781787697883101304, 5171, 290, 16
570, 1781787697889508558, 5164, 473, 750
571, 1781787697895762748, 5508, 290, 338
572, 1781787697901374567, 5171, 292, 87
573, 1781787697908437183, 5752, 623, 421
574, 1781787697914481579, 5169, 286, 291
575, 1781787697920320906, 5012, 285, 360
576, 1781787697927181929, 6173, 289, 337
577, 1781787697932796299, 5162, 290, 16
578, 1781787697939118508, 5167, 472, 624
579, 1781787697945726456, 5634, 289, 350
580, 1781787697951310534, 5170, 290, 88
581, 1781787697958156428, 5505, 685, 469
582, 1781787697963898631, 5167, 287, 288
583, 1781787697969517450, 5169, 292, 85
584, 1781787697976758038, 6135, 413, 342
585, 1781787697982706633, 5014, 289, 287
586, 1781787697988789491, 5008, 475, 470
587, 1781787697995616609, 5948, 291, 340
588, 1781787698001188119, 5169, 289, 77
589, 1781787698007907890, 5412, 649, 612
590, 1781787698013660640, 5170, 288, 291
591, 1781787698019309243, 5164, 289, 88
592, 1781787698026474755, 6158, 410, 361
593, 1781787698032495347, 5166, 288, 289
594, 1781787698038454981, 5168, 288, 421
595, 1781787698045428736, 6157, 290, 352
596, 1781787698051007067, 5171, 288, 86
597, 1781787698057681927, 5386, 647, 534
598, 1781787698063442603, 5175, 288, 281
599, 1781787698069118722, 5173, 287, 79
600, 1781787698076223607, 5894, 527, 353
601, 1781787698082136279, 5014, 290, 281
602, 1781787698088073632, 5012, 289, 356
603, 1781787698095006086, 6093, 289, 337
604, 1781787698100599612, 5171, 289, 86
605, 1781787698107282536, 5399, 651, 564
606, 1781787698113072662, 5177, 288, 288
607, 1781787698118738834, 5176, 288, 88
608, 1781787698125866889, 5748, 681, 350
609, 1781787698131762315, 5009, 287, 278
610, 1781787698137685011, 5165, 289, 362
611, 1781787698144743291, 6173, 463, 348
612, 1781787698150352035, 5168, 291, 88
613, 1781787698157032212, 5390, 642, 530
614, 1781787698162800063, 5169, 288, 279
615, 1781787698168422429, 5162, 289, 87
616, 1781787698175513499, 5754, 683, 410
617, 1781787698181544383, 5168, 289, 279
618, 1781787698187405615, 5013, 289, 356
619, 1781787698194178989, 6083, 289, 347
620, 1781787698199842862, 5167, 289, 16
621, 1781787698206185051, 5167, 484, 686
622, 1781787698212367340, 5426, 290, 352
623, 1781787698218019699, 5168, 289, 87
624, 1781787698225089322, 5778, 619, 416
625, 1781787698231120392, 5167, 288, 290
626, 1781787698236943705, 5007, 288, 362
627, 1781787698243775060, 6143, 289, 337
628, 1781787698249405512, 5171, 287, 16
629, 1781787698255943221, 5163, 483, 512
630, 1781787698261973459, 5306, 287, 350
631, 1781787698267560633, 5168, 287, 88
632, 1781787698274437406, 5386, 656, 598
633, 1781787698280160080, 5170, 290, 289
634, 1781787698285815773, 5170, 288, 89
635, 1781787698293079111, 6075, 411, 350
636, 1781787698298982454, 5010, 286, 280
637, 1781787698304873365, 5012, 286, 473
638, 1781787698311692501, 6074, 288, 336
639, 1781787698317340993, 5161, 289, 88
640, 1781787698324016693, 5407, 646, 531
641, 1781787698329759045, 5171, 291, 289
642, 1781787698335421447, 5171, 288, 90
643, 1781787698342632702, 5746, 681, 357
644, 1781787698348713292, 5014, 289, 280
645, 1781787698354740736, 5017, 291, 361
646, 1781787698361854562, 6172, 459, 353
647, 1781787698367449981, 5170, 290, 90
648, 1781787698374215075, 5391, 652, 551
649, 1781787698380289071, 5171, 285, 280
650, 1781787698386066735, 5015, 288, 365
651, 1781787698393055355, 6181, 411, 349
652, 1781787698398708502, 5172, 288, 15
653, 1781787698404753379, 5162, 288, 350
654, 1781787698411705060, 6074, 287, 350
655, 1781787698417301117, 5167, 287, 87
656, 1781787698424053529, 5425, 656, 532
657, 1781787698429816267, 5171, 289, 289
658, 1781787698435433148, 5178, 286, 88
