Frame, Timestamp, Render Stars, Tonemapping, User Interface
600, 1781787698076223607, 2164, 290, 285
601, 1781787698082136279, 1973, 289, 18
602, 1781787698088073632, 2120, 291, 16
603, 1781787698095006086, 2004, 292, 16
604, 1781787698100599612, 2241, 293, 82
605, 1781787698107282536, 2211, 291, 350
606, 1781787698113072662, 2165, 291, 282
607, 1781787698118738834, 1900, 290, 16
608, 1781787698125866889, 2088, 289, 16
609, 1781787698131762315, 1860, 289, 16
610, 1781787698137685011, 2301, 290, 223
611, 1781787698144743291, 2207, 291, 350
612, 1781787698150352035, 2132, 291, 281
613, 1781787698157032212, 1883, 291, 17
614, 1781787698162800063, 1969, 323, 16
615, 1781787698168422429, 2103, 289, 17
616, 1781787698175513499, 2033, 288, 16
617, 1781787698181544383, 2137, 293, 84
618, 1781787698187405615, 2174, 291, 343
619, 1781787698194178989, 2152, 293, 280
620, 1781787698199842862, 1882, 291, 17
621, 1781787698206185051, 2156, 291, 16
622, 1781787698212367340, 1869, 289, 16
623, 1781787698218019699, 2224, 290, 76
624, 1781787698225089322, 2187, 291, 344
625, 1781787698231120392, 2150, 292, 280
626, 1781787698236943705, 1913, 292, 17
627, 1781787698243775060, 2107, 289, 16
628, 1781787698249405512, 1875, 290, 16
629, 1781787698255943221, 2286, 290, 16
630, 1781787698261973459, 2052, 293, 87
631, 1781787698267560633, 2198, 290, 349
632, 1781787698274437406, 2171, 291, 284
633, 1781787698280160080, 1882, 289, 17
634, 1781787698285815773, 2105, 289, 16
635, 1781787698293079111, 1984, 289, 14
636, 1781787698298982454, 2227, 292, 79
637, 1781787698304873365, 2211, 291, 354
638, 1781787698311692501, 2180, 291, 284
639, 1781787698317340993, 1893, 290, 16
640, 1781787698324016693, 2093, 291, 18
641, 1781787698329759045, 1870, 290, 16
642, 1781787698335421447, 2262, 291, 17
643, 1781787698342632702, 2072, 290, 208
644, 1781787698348713292, 2187, 290, 350
645, 1781787698354740736, 2137, 290, 286
646, 1781787698361854562, 1976, 290, 17
647, 1781787698367449981, 2104, 290, 17
648, 1781787698374215075, 1969, 290, 17
649, 1781787698380289071, 2054, 293, 88
650, 1781787698386066735, 2183, 289, 343
651, 1781787698393055355, 2180, 291, 278
652, 1781787698398708502, 1894, 291, 16
653, 1781787698404753379, 2157, 289, 16
654, 1781787698411705060, 1885, 292, 17
655, 1781787698417301117, 2234, 289, 82
656, 1781787698424053529, 2177, 292, 345
657, 1781787698429816267, 2181, 291, 279
658, 1781787698435433148, 1846, 291, 17
